date_collected,sample_number,site,date_processed,weigh_boat_number,sample_identity,emptyboat_weight,48h_weight,72h_weight,preash_weight,postash_weight,notes
Aug 8,73,wizard,Oct 24,185,algae,1.091,1.108,1.108,1.108,1.1,
Aug 8,73,wizard,Oct 24,186,algae,1.07,1.08,1.08,1.079,1.076,
Aug 8,73,wizard,Oct 24,187,anemone,1.065,1.083,1.083,1.083,1.074,
Aug 9,87,dixon,Oct 24,188,algae,1.051,1.072,1.072,1.072,1.059,
Aug 9,87,dixon,Oct 24,190,algae,1.053,1.073,1.071,1.072,1.062,
Aug 9,87,dixon,Oct 24,191,algae,1.068,1.08,1.079,1.079,1.073,
Aug 9,87,dixon,Oct 24,192,anemone,1.067,1.081,1.08,1.082,1.072,
Aug 9,87,dixon,Oct 24,193,anemone,1.098,1.138,1.137,1.14,1.118,
Aug 10,177,eagle,Oct 27,113,algae,1.108,1.118,1.119,,,
Aug 10,177,eagle,Oct 27,118,anemone,1.06,1.072,1.072,,,
Aug 9,118,dixon,Oct 27,122,algae,1.071,1.087,1.087,1.088,1.078,
Aug 9,118,dixon,Oct 27,129,algae,1.062,1.076,1.076,,,
Aug 9,118,dixon,Oct 27,132,algae,1.068,1.079,1.079,,,
Aug 9,118,dixon,Oct 27,135,anemone,1.093,1.108,1.107,,,
Aug 9,118,dixon,Oct 27,144,anemone,1.067,1.103,1.102,,,
Aug 8,46,wizard,Oct 27,145,algae,1.063,1.075,1.075,,,
Aug 8,46,wizard,Oct 27,154,anemone,1.08,1.103,1.103,1.104,1.092,
Aug 8,59,wizard,Oct 27,156,algae,1.081,1.096,1.096,,,
Aug 8,59,wizard,Oct 27,197,algae,1.069,1.079,1.078,1.078,1.075,
Aug 8,59,wizard,Oct 27,194,anemone,1.084,1.108,1.107,1.108,1.097,
Aug 10,132,aguilar,Oct 29,189,algae,1.052,1.074,1.076,,,
Aug 10,132,aguilar,Oct 29,180,algae,1.067,1.084,1.084,1.083,1.073,
Aug 10,132,aguilar,Oct 29,177,algae,1.095,1.115,1.114,1.115,1.105,
Aug 10,132,aguilar,Oct 29,173,algae,1.112,1.124,1.124,1.124,1.119,
Aug 10,132,aguilar,Oct 29,166,anemone,1.057,1.073,1.072,1.073,1.063,
Aug 10,132,aguilar,Oct 29,164,anemone,1.057,1.075,1.074,1.075,1.063,
Aug 10,132,aguilar,Oct 29,127,anemone,1.063,1.077,1.077,1.076,1.07,
Aug 7,29,ross,Oct 29,128,algae,1.068,1.086,1.086,1.087,1.078,
Aug 7,29,ross,Oct 29,130,algae,1.051,1.071,1.072,1.072,1.062,
Aug 7,29,ross,Oct 29,131,algae,1.052,1.068,1.068,1.068,1.06,
Aug 7,29,ross,Oct 29,133,anemone,1.078,1.091,1.092,1.092,1.085,
Aug 7,29,ross,Oct 29,134,anemone,1.104,1.144,1.144,1.147,1.118,
Aug 10,144,aguilar,Oct 29,136,algae,1.097,1.111,1.111,1.111,1.105,
Aug 10,144,aguilar,Oct 29,137,anemone,1.101,1.116,1.116,1.116,1.108,
Aug 10,197,eagle,Oct 29,138,algae,1.103,1.122,1.122,1.12,1.113,
Aug 10,197,eagle,Oct 29,139,algae,1.107,1.125,1.125,1.126,1.116,
Aug 10,197,eagle,Oct 29,140,algae,1.105,1.137,1.138,1.138,1.124,
Aug 10,197,eagle,Oct 29,141,anemone,1.103,1.118,1.118,1.119,1.109,
Aug 10,197,eagle,Oct 29,142,anemone,1.102,1.165,1.165,1.168,1.12,
Aug 10,194,eagle,Nov 3,67,algae,1.063,1.087,1.084,,,
Aug 10,194,eagle,Nov 3,68,anemone,1.081,1.107,1.107,1.108,1.092,
Aug 10,166,eagle,Nov 3,70,algae,1.111,1.132,1.131,1.132,1.121,
Aug 10,166,eagle,Nov 3,71,algae,1.059,1.071,1.071,1.072,1.066,
Aug 10,166,eagle,Nov 3,72,anemone,1.119,1.15,1.149,,,
Aug 9,113,dixon,Nov 3,74,algae,1.068,1.078,1.077,1.078,1.074,
Aug 9,113,dixon,Nov 3,75,anemone,1.084,1.101,1.099,1.1,1.091,
Aug 9,106,dixon,Nov 3,76,algae,1.102,1.123,1.122,1.123,1.111,
Aug 9,106,dixon,Nov 3,77,algae,1.07,1.088,1.087,1.085,1.079,
Aug 9,106,dixon,Nov 3,78,algae,1.067,1.084,1.084,,,
Aug 9,106,dixon,Nov 3,80,algae,1.065,1.079,1.079,1.079,1.074,
Aug 9,106,dixon,Nov 3,82,anemone,1.114,1.181,1.18,1.183,1.136,
Aug 9,106,dixon,Nov 3,143,anemone,1.112,1.123,1.124,,,
Aug 8,69,wizard,Nov 11,146,algae,1.124,1.142,1.142,,,
Aug 8,69,wizard,Nov 11,147,anemone,1.068,1.087,1.087,,,
Aug 10,154,aguilar,Nov 11,148,algae,1.062,1.083,1.082,,,
Aug 10,154,aguilar,Nov 11,149,algae,1.063,1.082,1.082,,,
Aug 10,154,aguilar,Nov 11,150,algae,1.063,1.081,1.082,,,
Aug 10,154,aguilar,Nov 11,152,algae,1.076,1.091,1.091,,,
Aug 10,154,aguilar,Nov 11,151,algae,1.069,1.079,1.079,,,
Aug 10,154,aguilar,Nov 11,153,anemone,1.07,1.121,1.119,,,
Aug 10,156,aguilar,Nov 11,155,algae,1.085,1.107,1.107,,,
Aug 10,156,aguilar,Nov 11,157,algae,1.081,1.101,1.1,,,
Aug 10,156,aguilar,Nov 11,158,algae,1.079,1.097,1.097,,,
Aug 10,156,aguilar,Nov 11,159,algae,1.079,1.098,1.097,,,
Aug 10,156,aguilar,Nov 11,160,algae,1.085,1.105,1.104,,,
Aug 10,156,aguilar,Nov 11,161,algae,1.081,1.096,1.096,,,
Aug 10,156,aguilar,Nov 11,162,anemone,1.09,1.106,1.107,,,
Aug 10,156,aguilar,Nov 11,163,anemone,1.081,1.168,1.168,,,
Aug 9,99,dixon,Nov 11,165,algae,,1.08,1.08,,,
Aug 9,99,dixon,Nov 11,167,algae,1.055,1.073,1.073,,,
Aug 9,99,dixon,Nov 11,83,algae,1.071,1.096,1.097,,,
Aug 9,99,dixon,Nov 11,84,anemone,1.073,1.09,1.089,,,
Aug 9,99,dixon,Nov 11,85,anemone,1.116,1.171,1.17,,,
Aug 7,21,ross,Nov 11,86,algae,1.068,1.089,1.089,,,
Aug 7,21,ross,Nov 11,88,algae,1.067,1.089,1.089,,,
Aug 7,21,ross,Nov 11,89,algae,1.068,1.088,1.088,,,
Aug 7,21,ross,Nov 11,90,algae,1.07,1.083,1.083,,,
Aug 7,21,ross,Nov 11,91,anemone,1.067,1.082,1.081,,,
Aug 7,21,ross,Nov 11,93,anemone,1.108,1.168,1.167,,,
Aug 7,18,ross,Nov 12,94,algae,1.112,1.139,1.138,,,
Aug 7,18,ross,Nov 12,95,algae,1.115,1.136,1.137,,,
Aug 7,18,ross,Nov 12,96,algae,1.099,1.117,1.117,,,
Aug 7,18,ross,Nov 12,97,algae,1.107,1.128,1.127,,,
Aug 7,18,ross,Nov 12,98,algae,1.098,1.114,1.115,,,
Aug 7,18,ross,Nov 12,101,anemone,1.079,1.099,1.1,,,
Aug 7,18,ross,Nov 12,102,algae,1.076,1.089,1.089,,,
Aug 7,18,ross,Nov 12,103,anemone,1.073,1.095,1.095,,,
Aug 7,18,ross,Nov 12,104,anemone,1.076,1.166,1.166,,,
Aug 7,38,ross,Nov 12,105,algae,1.077,1.088,1.088,,,
Aug 7,38,ross,Nov 12,107,anemone,1.075,1.088,1.088,,,
Aug 9,81,dixon,Nov 12,108,algae,1.076,1.093,1.093,,,
Aug 9,81,dixon,Nov 12,109,algae,1.076,1.091,1.09,,,
Aug 9,81,dixon,Nov 12,110,anemone,1.076,1.099,1.099,,,
Aug 9,81,dixon,Nov 12,114,anemone,1.116,1.131,1.132,,,
Aug 8,62,wizard,Nov 12,111,algae,1.079,1.091,1.091,,,
Aug 8,62,wizard,Nov 12,112,anemone,1.085,1.104,1.105,,,
Aug 10,129,aguilar,Nov 12,115,algae,1.081,1.108,1.108,,,
Aug 10,129,aguilar,Nov 12,116,algae,1.066,1.095,1.095,,,
Aug 10,129,aguilar,Nov 12,117,algae,1.073,1.099,1.099,,,
Aug 10,129,aguilar,Nov 12,119,algae,1.054,1.079,1.079,,,
Aug 10,129,aguilar,Nov 12,120,algae,1.067,1.096,1.097,,,
Aug 10,129,aguilar,Nov 12,121,anemone,1.063,1.091,1.093,,,
Aug 10,129,aguilar,Nov 12,123,anemone,1.078,1.102,1.102,,,
Aug 10,129,aguilar,Nov 12,124,anemone,1.071,1.088,1.089,,,
Aug 10,129,aguilar,Nov 12,125,anemone,1.051,1.07,1.071,,,
Aug 10,129,aguilar,Nov 12,126,anemone,1.055,1.074,1.075,,,
Aug 10,129,aguilar,Nov 12,211,anemone,1.081,1.209,1.21,,,
Aug 10,129,aguilar,Nov 12,212,anemone,1.11,1.123,1.123,,,
